M|1271|0.181556195965418|0.20479704797048
C|1281|Left|Press
M|1767|0.277777777777778|0.481549815498155
C|1777|Left|Release
M|2023|0.119596541786744|0.592250922509225
C|2033|Left|Press
M|2172|0.119596541786744|0.618081180811808
C|2182|Left|Release
M|2490|0.11671469740634|0.771217712177122
C|2500|Left|Press
M|2586|0.117052023121387|0.752
C|2596|Left|Release
T|2596| Yo man.
M|2895|0.207492795389049|0.833948339483395
C|2905|Right|Press
C|2971|Right|Release
M|3303|0.452449567723343|0.872693726937269
C|3313|Right|Press
M|3392|0.453890489913545|0.872693726937269
C|3402|Right|Release
M|3785|0.592219020172911|0.680811808118081
C|3795|Middle|Press
M|3931|0.592219020172911|0.678966789667897
C|3941|Middle|Release
T|3943| Finish .
M|4424|0.617052023121387|0.45
C|4434|Middle|Press
M|4545|0.615273775216138|0.494464944649447
C|4555|Middle|Release
